id,Title,Composer,Performer,Stream,Orig Sentiment,Sentiment
791,Firestarter ,Kim Deal / Anne Dudley / Keith Flint / Trevor Horn / Liam Howlett / J.J. Jeczalik / Gary Langan / Paul Morley,The Prodigy,,angry,anger
792,Margin Walker ,Fugazi,Fugazi,Spotify,angry,anger
793,Black Steel in the Hour of Chaos ,William Drayton / Carlton Ridenhour / Eric Sadler / Hank Shocklee,Public Enemy,Spotify,angry,anger
794,Delete Yourself! You Got No Chance to Win! ,Alec Empire,Atari Teenage Riot,,angry,anger
795,"Damage, Inc.",,Metallica,,angry,anger
796,Sabotage,,Beastie Boys,Spotify,angry,anger
797,Sexy Sadie,,The Beatles,,angry,anger
798,Lifeline,,Papa Roach,Spotify,angry,anger
799,Once,,Pearl Jam,,angry,anger
800,Fuck tha Police ,O'Shea Jackson / Lorenzo Patterson / Harry Whitaker / Andre Young,N.W.A,,aggressive,anger
801,Breaking the Law ,K.K. Downing / Rob Halford / Glenn Tipton,Judas Priest,Spotify,aggressive,anger
802,Mama Said Knock You Out ,"George Clinton / William Collins / Gregory Jacobs / James McCants / Leroy McCants / Junie Morrison / James Todd Smith / Sylvester ""Sly Stone"" Stewart / Marlon Williams",LL Cool J,Spotify,aggressive,anger
803,Fight the Power ,Carlton Ridenhour / Eric Sadler / Hank Shocklee / Keith Shocklee,Public Enemy,Spotify,aggressive,anger
804,Wish ,Trent Reznor,Nine Inch Nails,Spotify,aggressive,anger
805,Ace of Spades ,"Fast Eddie Clarke / Lemmy Kilmister / Phil ""Philthy Animal"" Taylor",Moțrhead,,aggressive,anger
806,Kick Out the Jams ,"Michael Davis / Wayne Kramer / Fred ""Sonic"" Smith / Dennis Thompson / Rob Tyner",MC5,Spotify,aggressive,anger
807,Bawitdaba ,Kid Rock / Jason Krause / Mark Schafer,Kid Rock,,aggressive,anger
808,Get at Me Dog ,A. Fields / Earl Simmons,DMX,Spotify,aggressive,anger
809,Communication Breakdown ,John Bonham / John Paul Jones / Jimmy Page,Led Zeppelin,,aggressive,anger
810,Attitude ,Glenn Danzig,Misfits,,aggressive,anger
811,Pay to Cum ,Bad Brains / Dr. Know / G. W. Miller / Earl Hudson / Paul Hudson / Phil Hudson / Darryl Jenifer,Bad Brains,Spotify,aggressive,anger
812,Search and Destroy ,Iggy Pop / James Williamson,Iggy & the Stooges,,aggressive,anger
813,You Got It (Keep It Outta My Face) ,Mudhoney,Mudhoney,,aggressive,anger
814,Smack My Bitch Up ,Liam Howlett / Kool Keith / C. Miller / M. Smith,The Prodigy,,aggressive,anger
815,Bang Your Head (Metal Health) ,Frankie Banali / Carlos Cavazo / Tony Cavazo / Kevin DuBrow,Quiet Riot,,aggressive,anger
816,Steady Mobbin' ,Ice Cube,Ice Cube,Spotify,aggressive,anger
817,Summertime Blues ,Jerry Capehart / Eddie Cochran,Blue Cheer,Spotify,aggressive,anger
818,The Eton Rifles ,Paul Weller,The Jam,Spotify,aggressive,anger
819,Dive ,Chad Channing / Kurt Cobain / Krist Novoselic,Nirvana,Spotify,aggressive,anger
820,Break on Through (To the Other Side) ,John Densmore / The Doors / Robby Krieger / Ray Manzarek / Jim Morrison,The Doors,,aggressive,anger
821,Sucker M.C.'s (Krush-Groove 1) ,Darryl McDaniels / Joseph Simmons / Larry Smith / Lawrence Smith,Run-D.M.C.,Spotify,aggressive,anger
822,Bring the Noise ,Carlton Ridenhour / Eric Sadler / Hank Shocklee,Public Enemy,Spotify,aggressive,anger
823,Slam ,Kirk Jones / Fred Scruggs / T. Taylor,Onyx,Spotify,aggressive,anger
824,I Wanna Be Your Dog ,Dave Alexander / Ron Asheton / Scott Asheton / Iggy Pop,The Stooges,,aggressive,anger
825,Dirty Water ,Ed Cobb,The Standells,,aggressive,anger
826,King of Rock ,Darryl McDaniels / Orange Krush / Joseph Simmons / Larry Smith,Run-D.M.C.,Spotify,aggressive,anger
827,MBV Arkestra (If They Move Kill 'Em) ,Primal Scream,Primal Scream,Spotify,aggressive,anger
828,Psycho ,Leon Payne / Gerald Roslie / The Sonics,The Sonics,,aggressive,anger
829,My Generation ,Pete Townshend,The Who,,aggressive,anger
830,(I'm Not Your) Steppin' Stone ,Tommy Boyce / Bobby Hart,The Monkees,,aggressive,anger
831,Margin Walker ,Fugazi,Fugazi,Spotify,aggressive,anger
832,You Really Got Me ,Ray Davies,The Kinks,,aggressive,anger
833,Balls to the Wall ,Peter Baltes / Udo Dirkschneider / Wolf Hoffmann / Stefan Kaufmann,Accept,,aggressive,anger
834,Cowboys from Hell ,Pantera,Pantera,Spotify,aggressive,anger
835,"Radio, Radio ",Elvis Costello,Elvis Costello & the Attractions,,aggressive,anger
836,Shimmy Shimmy Ya ,Robert Diggs / R. Jones,Ol' Dirty Bastard,Spotify,aggressive,anger
837,Living After Midnight ,K.K. Downing / Rob Halford / Glenn Tipton,Judas Priest,Spotify,aggressive,anger
838,Rollin' (Air Raid Vehicle) ,Limp Bizkit,Limp Bizkit,Spotify,aggressive,anger
839,Blues from a Gun ,Jim Reid / William Reid,The Jesus and Mary Chain,,aggressive,anger
840,Machine Gun Etiquette ,Captain Sensible / Rat Scabies / Dave Vanian / Algy Ward,The Damned,Spotify,aggressive,anger
841,Tattooed Love Boys ,Chrissie Hynde,Pretenders,,aggressive,anger
842,Personality Crisis ,David Johansen / Johnny Thunders,New York Dolls,Spotify,aggressive,anger
843,Highway Star ,Ritchie Blackmore / Ian Gillan / Roger Glover / Jon Lord / Ian Paice,Deep Purple,Spotify,aggressive,anger
844,Run to the Hills ,Steve Harris,Iron Maiden,Spotify,aggressive,anger
845,Fire ,Jimi Hendrix,The Jimi Hendrix Experience,Spotify,aggressive,anger
846,Unsung ,Page Hamilton,Helmet,Spotify,aggressive,anger
847,This Is a Call ,Dave Grohl,Foo Fighters,Spotify,aggressive,anger
848,Rockstar,,Nickelback,,aggressive,anger
849,Live and Let Die,,Paul McCartney / Paul McCartney & Wings / Wings,,aggressive,anger
850,Scary Monsters (And Super Creeps),,David Bowie,Spotify,rebellious,anger
851,Fashion,,David Bowie,Spotify,rebellious,anger
852,Stone Free,,Jimi Hendrix,,rebellious,anger
853,Tailgunner,,Iron Maiden,,rebellious,anger
854,Tombstone Blues,,Bob Dylan,,rebellious,anger
855,Highway 61 Revisited,,Bob Dylan,,rebellious,anger
856,Little Sister,,Elvis Presley,,rebellious,anger
857,"Baby, Let's Play House",,Elvis Presley,,rebellious,anger
858,Movin' Out (Anthony's Song),,Billy Joel,,rebellious,anger
859,"Lawdy, Miss Clawdy",,Elvis Presley,,rebellious,anger
860,White Lightning,,George Jones,,rebellious,anger
861,I Got Stripes,,Johnny Cash,,rebellious,anger
862,She's Got Balls,,AC/DC,,rebellious,anger
863,Ohio,,Neil Young,,rebellious,anger
864,Beer for My Horses,,Toby Keith / Willie Nelson,Spotify,rebellious,anger
865,Maggie's Farm,,Bob Dylan,,rebellious,anger
866,The Clairvoyant,,Iron Maiden,Spotify,rebellious,anger
867,Can I Play with Madness,,Iron Maiden,Spotify,rebellious,anger
868,Heaven Can Wait,,Iron Maiden,Spotify,rebellious,anger
869,Running Free,,Iron Maiden,Spotify,rebellious,anger
870,Sanctuary,,Iron Maiden,Spotify,rebellious,anger
871,Crosstown Traffic,,Jimi Hendrix,Spotify,rebellious,anger
872,Stone Free,,Jimi Hendrix / The Jimi Hendrix Experience,Spotify,rebellious,anger
873,Moneytalks,,AC/DC,,rebellious,anger
874,Jailbreak,,AC/DC,,rebellious,anger
875,Sin City,,AC/DC,,rebellious,anger
876,Warning,,Green Day,Spotify,rebellious,anger
877,The Wicker Man,,Iron Maiden,Spotify,rebellious,anger
878,Lawdy Miss Clawdy,,Elvis Presley,,rebellious,anger
879,Ready Teddy,,Elvis Presley,,rebellious,anger
880,Voodoo Child (Slight Return),,Jimi Hendrix / The Jimi Hendrix Experience,Spotify,rebellious,anger
881,Crosstown Traffic,,Jimi Hendrix / The Jimi Hendrix Experience,Spotify,rebellious,anger
882,The Conjuring,,Megadeth,Spotify,rebellious,anger
883,Wake Up Dead,,Megadeth,Spotify,rebellious,anger
884,If You Want Blood (You've Got It),,AC/DC,Spotify,rebellious,anger
885,Girls Got Rhythm,,AC/DC,Spotify,rebellious,anger
886,I Don't Live Today,,Jimi Hendrix / The Jimi Hendrix Experience,Spotify,rebellious,anger
887,Highway Chile,,Jimi Hendrix / The Jimi Hendrix Experience,Spotify,rebellious,anger
888,Pump It Up,,Elvis Costello,,rebellious,anger
889,Ballbreaker,,AC/DC,,rebellious,anger
890,Hard as a Rock,,AC/DC,,rebellious,anger
891,Sink the Pink,,AC/DC,,rebellious,anger
892,Shake Your Foundations,,AC/DC,,rebellious,anger
893,Who Made Who,,AC/DC,,rebellious,anger
894,Directions,,Miles Davis,Spotify,rebellious,anger
895,Good Hearted Woman,,Waylon Jennings / Willie Nelson,Spotify,rebellious,anger
896,Heartbreak Hotel,,Elvis Presley,,rebellious,anger
897,That's All Right,,Elvis Presley,,rebellious,anger
898,Elected,,Alice Cooper,Spotify,rebellious,anger
899,Baby Let's Play House,,Elvis Presley,Spotify,rebellious,anger
